Query_ID,Pass,Faithfulness_Score,Estimated_Cost
QID_vp_387,1,0.95,$0.0191
QID_vp_166,1,0.99,$0.0188
QID_vp_400,1,0.93,$0.0206
QID_vp_008,1,0.69,$0.0208
QID_vp_187,1,0.68,$0.0201
QID_vp_304,1,0.78,$0.0208
QID_vp_320,1,0.83,$0.0195
QID_vp_336,1,0.65,$0.0198
QID_vp_288,1,0.60,$0.0182
QID_vp_435,0,0.12,$0.0184
QID_vp_290,1,0.71,$0.0176
QID_vp_042,1,0.83,$0.0162
QID_vp_047,1,0.66,$0.0200
QID_vp_233,1,0.97,$0.0205
QID_vp_384,1,0.77,$0.0204
QID_vp_277,1,0.71,$0.0195
QID_vp_470,0,0.12,$0.0156
QID_vp_450,0,0.15,$0.0184
QID_vp_426,0,0.43,$0.0177
QID_vp_214,1,0.72,$0.0207
QID_vp_483,0,0.31,$0.0207
QID_vp_160,1,0.94,$0.0205
QID_vp_202,1,0.62,$0.0161
QID_vp_496,0,0.40,$0.0169
QID_vp_085,1,0.74,$0.0177
QID_vp_220,1,0.94,$0.0167
QID_vp_434,0,0.15,$0.0186
QID_vp_232,1,0.78,$0.0193
QID_vp_465,0,0.47,$0.0186
QID_vp_283,1,0.77,$0.0191
QID_vp_139,1,0.72,$0.0153
QID_vp_156,1,0.71,$0.0193
QID_vp_388,1,0.60,$0.0156
QID_vp_205,1,1.00,$0.0193
QID_vp_033,1,0.76,$0.0158
QID_vp_455,0,0.42,$0.0174
QID_vp_037,1,0.81,$0.0190
QID_vp_223,1,0.97,$0.0174
QID_vp_014,1,0.68,$0.0194
QID_vp_013,1,0.63,$0.0164
QID_vp_050,1,0.75,$0.0209
QID_vp_332,1,0.63,$0.0200
QID_vp_298,1,0.63,$0.0171
QID_vp_086,1,0.62,$0.0165
QID_vp_350,1,0.73,$0.0186
QID_vp_138,1,0.78,$0.0156
QID_vp_393,1,0.97,$0.0170
QID_vp_102,1,0.94,$0.0193
QID_vp_099,1,0.96,$0.0171
QID_vp_075,1,0.96,$0.0175
QID_vp_162,1,0.88,$0.0155
QID_vp_061,1,0.61,$0.0196
QID_vp_049,1,0.89,$0.0152
QID_vp_312,1,0.89,$0.0195
QID_vp_460,0,0.45,$0.0192
QID_vp_024,1,0.72,$0.0181
QID_vp_001,1,0.83,$0.0161
QID_vp_444,0,0.08,$0.0176
QID_vp_468,0,0.08,$0.0151
